date, pm25, pm10, o3, no2, so2, co
2019/9/12, 18, 23, 22, 9, 2, 
2019/9/13, 23, 34, 27, 7, 1, 
2019/9/14, 37, 47, 14, 5, 1, 1
2019/9/15, 48, 32, 11, 5, 1, 1
2019/9/16, 39, 26, 21, 12, 1, 
2019/9/17, 23, 29, 19, 14, 8, 
2019/9/18, 34, 24, 23, 15, 5, 1
2019/9/19, 42, 23, 26, 16, , 1
2019/9/20, 43, , 27, , 1, 
2019/9/24, 15, 26, 16, 3, 7, 
2019/9/25, 50, 37, 19, 3, 6, 19
2019/9/26, 48, 45, 20, 3, 2, 19
2019/9/27, 58, 23, 18, 2, 1, 
2019/9/28, 34, 8, 21, 1, 1, 
2019/9/29, 12, 30, 15, 6, 2, 2
2019/9/30, 38, 23, 18, 6, 2, 
2019/4/1, 44, 15, 28, 9, 2, 
2019/4/2, 31, 6, 26, 13, 2, 
2019/4/3, 15, 8, 29, 10, 2, 
2019/4/4, 12, 10, 31, 9, 2, 
2019/4/5, 19, 24, 34, 8, 2, 
2019/4/6, 68, 33, 29, 6, 2, 1
2019/4/7, 92, 46, 19, 10, 2, 1
2019/4/8, 122, 31, 27, 9, 1, 1
2019/4/9, 83, 20, 33, 8, 1, 
2019/4/10, 47, 19, 33, 11, 1, 
2019/4/11, 39, 21, 33, 10, 1, 1
2019/4/12, 56, 22, 36, 6, 1, 
2019/4/13, 56, 20, 36, 4, 1, 
2019/4/14, 48, 44, 34, 9, 2, 1
2019/4/15, 88, 48, 27, 14, 2, 2
2019/4/16, 124, 52, 30, 14, 1, 1
2019/4/17, 135, 51, 31, 12, 1, 1
2019/4/18, 124, 40, 44, 11, 1, 1
2019/4/19, 95, 34, 50, 17, 1, 1
2019/4/20, 79, 29, 56, 15, 1, 1
2019/4/21, 75, 35, 55, 15, 1, 1
2019/4/22, 87, 42, 35, 12, 1, 1
2019/4/23, 90, 38, 27, 11, 1, 
2019/4/24, 65, 9, 29, 10, 1, 
2019/4/25, 26, 17, 29, 8, 1, 
2019/4/26, 27, 21, 32, 3, 1, 
2019/4/27, 29, 17, 25, 4, 1, 
2019/4/28, 28, 21, 27, 9, 1, 
2019/4/29, 55, 31, 31, 9, 1, 
2019/4/30, 67, 40, 29, 7, 1, 
2019/5/1, 68, 44, 26, 9, 1, 
2019/5/2, 36, 34, 27, 9, 1, 1
2019/5/3, 44, 69, 27, 6, 1, 
2019/5/4, 39, 40, 27, 11, 1, 
2019/5/5, 40, 12, 30, 7, 1, 
2019/5/6, 30, 45, 33, 9, 1, 
2019/5/7, 57, 25, 30, 9, 1, 
2019/5/8, 41, 42, 27, 8, 1, 
2019/5/9, 40, 32, 29, 9, 1, 
2019/5/10, 50, 28, 30, 9, 1, 
2019/5/11, 45, 33, 35, 9, 1, 
2019/5/12, 41, 69, 34, 6, 1, 
2019/5/13, 58, 37, 33, 7, 1, 
2019/5/14, 54, 39, 38, 8, 1, 
2019/5/15, 63, 37, 33, 10, 2, 
2019/5/16, 65, 23, 29, 12, 2, 
2019/5/17, 52, 30, 25, 11, 2, 
2019/5/18, 57, 24, 26, 11, 2, 
2019/5/19, 47, 15, 29, 9, 2, 
2019/5/20, 38, 16, 30, 9, 2, 
2019/5/21, 35, 17, 33, 7, 2, 
2019/5/22, 31, 19, 33, 9, 2, 
2019/5/23, 43, 17, 22, 9, 2, 1
2019/5/24, 53, 19, 23, 6, 2, 1
2019/5/25, 56, 12, 21, 2, 2, 
2019/5/26, 38, 16, 25, 5, 2, 
2019/5/27, 38, 14, 26, 7, 2, 
2019/5/28, 29, 14, 19, 8, 2, 
2019/5/29, 40, 18, 17, 5, 2, 
2019/5/30, 44, 12, 16, 4, 2, 
2019/5/31, 33, 16, 31, 5, 2, 
2019/6/1, 52, 20, 28, 2, 2, 
2019/6/2, 52, 21, 25, 6, 2, 
2019/6/3, 33, 15, 26, 7, 2, 
2019/6/4, 44, 11, 25, 6, 2, 
2019/6/5, 27, 14, 28, 6, 2, 
2019/6/6, 31, 14, 23, 8, 2, 
2019/6/7, 40, 13, 25, 4, 2, 
2019/6/8, 35, 12, 26, 5, 2, 
2019/6/9, 37, 16, 23, 7, 2, 
2019/6/10, 39, 10, 29, 4, 2, 
2019/6/11, 33, 23, 22, 11, 2, 1
2019/6/12, 34, 11, 20, 11, 1, 1
2019/6/13, 36, 10, 20, 10, 1, 
2019/6/14, 34, 12, 28, 8, , 
2019/6/15, 36, 11, 24, 3, , 
2019/6/16, 42, 15, 23, 7, 1, 
2019/6/17, 44, 16, 20, 10, , 
2019/6/18, 53, 15, 24, 10, 1, 
2019/6/19, 52, 14, 25, 9, , 
2019/6/20, 38, 18, 22, 11, , 
2019/6/21, 45, 16, 29, 7, , 
2019/6/22, 52, 22, 25, 7, , 1
2019/6/23, 74, 28, 23, 10, 1, 1
2019/6/24, 89, 21, 14, 12, 1, 1
2019/6/25, 84, 21, 18, 6, , 
2019/6/26, 69, 33, 29, 5, , 
2019/6/27, 58, 40, 29, 6, , 
2019/6/28, 66, 29, 40, 7, 1, 
2019/6/29, 82, 14, 23, 2, , 
2019/6/30, 52, 13, 22, 5, , 
2019/1/2, 36, 18, 17, 11, , 1
2019/1/3, 43, 38, 20, 11, , 1
2019/1/4, 55, 27, 13, 16, , 2
2019/1/5, 68, 29, 6, 21, 1, 3
2019/1/6, 81, 27, 5, 17, 1, 3
2019/1/7, 69, 18, 22, 5, , 2
2019/1/8, 42, 20, 22, 12, , 1
2019/1/9, 38, 23, 17, 19, 1, 3
2019/1/10, 47, 21, 5, 19, 1, 3
2019/1/11, 53, 17, 14, 15, , 2
2019/1/12, 39, 10, 20, 4, , 2
2019/1/13, 29, 10, 27, 2, , 2
2019/1/14, 27, 23, 27, 9, , 2
2019/1/15, 34, 16, 22, 9, , 2
2019/1/16, 28, 9, 26, 11, 1, 2
2019/1/17, 23, 26, 19, 17, 1, 2
2019/1/18, 34, 20, 21, 12, , 2
2019/1/19, 40, 10, 18, 10, , 2
2019/1/20, 36, 21, 13, 10, , 3
2019/1/21, 69, 17, 14, 12, , 3
2019/1/22, 55, 14, 21, 18, 1, 4
2019/1/23, 37, 25, 15, 23, 1, 3
2019/1/24, 45, 25, 1, 25, 3, 5
2019/1/25, 69, 18, 12, 15, 3, 3
2019/1/26, 53, 9, 26, 7, 3, 2
